x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
227		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
230		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
233		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
236		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
239		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
242		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
245		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
248		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
251		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
254		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
257		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
260		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
263		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
266		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
269		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
272		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
275		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
278		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
281		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
284		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
287		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
290		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
293		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
296		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
299		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
302		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
305		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
308		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
311		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
314		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
317		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
320		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
323		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
326		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
329		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
332		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
335		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
338		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
341		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
344		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
347		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
350		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
353		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
356		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
359		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
362		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
365		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
368		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
371		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
374		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
377		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
380		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
383		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
386		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
389		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
392		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
395		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
398		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
401		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
404		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
407		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
410		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
413		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
416		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
419		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
422		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
425		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
428		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
431		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
434		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
437		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
440		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
