x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
227		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
230		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
233		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
236		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
239		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
242		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
245		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
248		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
251		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
254		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
257		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
260		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
263		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
266		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
269		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
272		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
275		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
278		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
281		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
284		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
287		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
290		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
293		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
296		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
299		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
302		0.000081	0.000486	0.000245	0.000241	0.000245	0.000245	0.000081	0.000081
