x	"NC0"	"NC1"	"NC2"	"NC3"	"NC4"	"NC5"	"NC6"	"NC7"
226		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
229		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
232		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
235		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
238		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
241		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
244		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
247		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
250		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
253		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
256		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
259		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
262		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
265		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
268		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
271		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
274		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
277		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
280		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
283		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
286		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
289		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
292		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
295		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
298		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
301		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
304		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
307		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
310		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
313		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
316		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
319		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
322		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
325		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
328		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
331		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
334		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
337		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
340		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
343		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
346		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
349		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
352		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
355		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
358		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
361		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
364		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
367		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
370		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
373		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
376		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
379		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
382		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
385		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
388		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
391		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
394		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
397		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
400		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
403		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
406		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
409		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
412		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
415		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
418		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
421		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
424		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
427		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
430		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
433		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
436		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
439		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
442		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
445		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
448		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
451		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
454		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
457		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
460		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
463		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
466		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
469		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
472		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
475		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
478		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
481		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
484		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
487		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
490		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
493		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
496		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
499		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
502		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
505		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
508		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
511		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
514		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
517		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
520		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
523		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
526		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
529		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
532		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
535		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
538		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
541		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
544		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
547		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
550		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
553		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
556		18.279999	14.269997	13.889999	14.339996	15.160004	14.959999	15.309998	14.730003
