x	"NC0"
456		12.350000
457		12.350000
458		12.340000
459		12.340000
460		12.320000
461		12.320000
462		12.310000
463		12.300000
464		12.300000
465		12.300000
466		12.290000
467		12.280000
468		12.280000
469		12.280000
470		12.280000
471		12.280000
472		12.280000
473		12.270000
474		12.270000
475		12.260000
476		12.260000
477		12.260000
478		12.260000
479		12.260000
480		12.260000
481		12.250000
482		12.250000
483		12.240000
484		12.240000
485		12.230000
486		12.220000
487		12.220000
488		12.220000
489		12.210000
490		12.200000
491		12.200000
492		12.200000
493		12.200000
494		12.190000
495		12.180000
496		12.150000
497		12.140000
498		12.140000
499		12.140000
500		12.140000
501		12.070000
502		12.040000
503		12.000000
504		11.940000
505		11.700000
506		11.700000
507		11.700000
508		11.700000
509		11.700000
510		11.700000
511		11.700000
512		11.700000
513		11.520000
514		11.520000
515		11.520000
516		11.520000
517		11.520000
518		11.520000
519		11.520000
520		11.520000
521		11.520000
522		11.520000
523		11.520000
524		11.520000
525		11.500000
526		11.500000
527		11.500000
528		11.500000
529		11.500000
530		11.500000
531		11.480000
532		11.480000
533		11.470000
534		11.450000
535		11.450000
536		11.430000
537		11.430000
538		11.420000
539		11.400000
540		11.400000
541		11.400000
542		11.400000
543		11.370000
544		11.370000
545		11.350000
546		11.350000
547		11.350000
548		11.330000
549		11.330000
550		11.290000
551		11.290000
552		11.290000
553		11.280000
554		11.270000
555		11.270000
556		11.250000
557		11.250000
558		11.250000
559		11.220000
560		11.220000
561		11.170000
562		11.120000
563		11.120000
564		11.120000
565		11.120000
566		11.120000
567		11.120000
568		11.120000
569		11.120000
570		11.120000
571		11.120000
572		11.120000
573		11.120000
574		10.840000
575		10.700000
576		10.450000
577		10.440000
578		10.270000
579		10.270000
580		10.430000
581		10.430000
582		10.430000
583		10.430000
584		10.430000
585		10.430000
586		10.430000
587		10.430000
588		10.380000
589		10.380000
590		10.380000
591		10.220000
592		10.220000
593		10.220000
594		10.220000
595		10.220000
596		10.220000
597		10.220000
598		10.220000
599		10.220000
600		10.220000
601		10.220000
602		10.200000
603		10.200000
604		10.190000
605		10.170000
606		10.170000
607		10.150000
608		10.150000
609		10.150000
610		10.130000
611		10.130000
612		10.100000
613		10.100000
614		10.100000
615		10.070000
616		10.070000
617		10.070000
618		10.050000
619		10.050000
620		10.050000
621		10.030000
622		10.030000
623		10.030000
624		10.030000
625		10.030000
626		10.030000
627		10.030000
628		10.030000
629		10.030000
630		9.830000
631		9.830000
632		9.810000
633		9.820000
634		9.560000
635		9.560000
636		9.820000
637		9.820000
638		9.830000
639		9.840000
640		9.840000
641		13.740000
642		13.740000
643		13.720000
644		13.700000
645		13.660000
646		13.640000
647		13.630000
648		13.610000
649		13.570000
650		13.540000
651		13.520000
652		13.500000
653		13.470000
654		13.450000
655		13.420000
656		13.410000
657		13.380000
658		13.360000
659		13.320000
660		13.280000
661		13.240000
662		13.210000
663		13.160000
664		13.130000
665		13.100000
666		13.090000
667		13.070000
668		13.050000
669		13.010000
670		12.970000
671		12.930000
672		12.920000
673		12.880000
674		12.850000
675		12.810000
676		12.780000
677		12.740000
678		12.710000
679		12.670000
680		12.650000
681		12.630000
682		12.590000
683		12.540000
684		12.520000
685		12.490000
686		12.430000
687		12.390000
688		12.350000
689		12.330000
690		12.280000
691		12.250000
692		12.230000
693		12.230000
694		12.220000
695		12.210000
696		12.200000
697		12.200000
698		12.190000
699		12.190000
700		12.080000
701		12.080000
702		12.080000
703		12.080000
704		12.080000
705		12.060000
706		12.060000
707		12.050000
708		12.040000
709		12.030000
710		12.020000
711		12.020000
712		12.000000
713		12.000000
714		11.990000
715		11.990000
716		11.980000
717		11.980000
718		11.970000
719		11.970000
720		11.970000
721		11.970000
722		11.960000
723		11.950000
724		11.950000
725		11.950000
726		11.950000
727		11.950000
728		11.950000
729		11.940000
730		11.920000
731		11.920000
732		11.920000
733		11.910000
734		11.910000
735		11.910000
736		11.900000
737		11.900000
738		11.890000
739		11.870000
740		11.860000
741		11.850000
742		11.860000
743		11.850000
744		11.840000
745		11.840000
746		11.830000
747		11.760000
748		11.690000
749		11.650000
750		11.390000
751		11.390000
752		11.390000
753		11.380000
754		11.380000
755		11.380000
756		11.380000
757		11.380000
758		11.380000
759		11.210000
760		11.210000
761		11.210000
762		11.210000
763		11.210000
764		11.210000
765		11.210000
766		11.210000
767		11.210000
768		11.210000
769		11.210000
770		11.190000
771		11.190000
772		11.160000
773		11.170000
774		11.170000
775		11.150000
776		11.150000
777		11.150000
778		11.130000
779		11.130000
780		11.100000
781		11.100000
782		11.100000
783		11.100000
784		11.080000
785		11.080000
786		11.070000
787		11.070000
788		11.050000
789		11.050000
790		11.050000
791		11.030000
792		11.030000
793		11.030000
794		11.030000
795		11.010000
796		11.010000
797		10.970000
798		10.970000
799		10.970000
800		10.950000
801		10.950000
802		10.950000
803		10.930000
804		10.930000
805		10.920000
806		10.900000
807		10.900000
808		10.800000
809		10.800000
810		10.800000
811		10.800000
812		10.800000
813		10.800000
814		10.800000
815		10.800000
816		10.800000
817		10.800000
818		10.800000
819		10.520000
820		10.370000
821		10.380000
822		10.250000
823		10.380000
824		10.380000
825		10.380000
826		10.380000
827		10.380000
828		10.380000
829		10.380000
830		10.330000
831		10.330000
832		10.330000
833		10.170000
834		10.170000
835		10.170000
836		10.170000
837		10.170000
838		10.170000
839		10.170000
840		10.170000
841		10.170000
842		10.170000
843		10.170000
844		10.150000
845		10.150000
846		10.140000
847		10.120000
848		10.120000
849		10.100000
850		10.100000
851		10.100000
852		10.080000
853		10.080000
854		10.050000
855		10.050000
856		10.050000
857		10.030000
858		10.030000
859		10.030000
860		10.000000
861		10.000000
862		10.000000
863		9.980000
864		9.980000
865		9.980000
866		9.940000
867		9.940000
868		9.950000
869		9.920000
870		9.920000
871		9.900000
872		9.900000
873		9.900000
874		9.870000
875		9.870000
876		9.850000
877		9.850000
878		9.850000
879		9.850000
880		9.850000
881		9.850000
882		9.850000
883		9.850000
884		9.850000
885		9.850000
886		9.550000
887		9.510000
888		9.530000
889		9.260000
890		9.260000
891		9.530000
892		9.530000
893		9.530000
894		9.530000
895		9.520000
896		9.420000
897		9.420000
898		9.390000
899		9.380000
900		9.380000
901		9.370000
902		9.210000
903		9.190000
904		9.200000
905		9.200000
906		9.200000
907		9.200000
908		9.200000
909		9.200000
910		9.200000
911		9.200000
912		9.200000
913		9.200000
914		9.180000
915		9.180000
916		9.180000
917		9.150000
918		9.150000
919		9.130000
920		9.130000
921		9.130000
922		9.110000
923		9.110000
924		9.110000
925		9.080000
926		9.080000
927		9.050000
928		9.050000
929		9.050000
930		9.030000
931		9.030000
932		9.010000
933		9.010000
934		9.000000
935		9.030000
936		9.030000
937		9.000000
938		9.000000
939		9.000000
940		8.980000
941		8.980000
942		8.970000
943		8.950000
944		8.950000
945		8.930000
946		8.930000
947		8.930000
948		8.910000
949		8.910000
950		8.910000
951		8.910000
952		8.910000
953		8.910000
954		8.910000
955		8.600000
956		8.590000
957		8.550000
958		8.520000
959		8.590000
960		8.600000
961		8.610000
962		8.620000
963		8.620000
964		13.570000
965		13.570000
966		13.730000
967		13.700000
968		13.690000
969		13.660000
970		13.630000
971		13.610000
972		13.570000
973		13.540000
974		13.520000
975		13.480000
976		13.470000
977		13.420000
978		13.400000
979		13.390000
980		13.360000
981		13.320000
982		13.280000
983		13.220000
984		13.180000
985		13.130000
986		13.070000
987		13.070000
988		13.050000
989		13.030000
990		13.000000
991		12.950000
992		12.910000
993		12.890000
994		12.870000
995		12.830000
996		12.790000
997		12.760000
998		12.730000
999		12.670000
1000		12.650000
1001		12.580000
1002		12.530000
1003		12.490000
1004		12.430000
1005		12.380000
1006		12.350000
1007		12.290000
1008		12.240000
1009		12.220000
1010		12.210000
1011		12.200000
1012		12.200000
1013		12.190000
1014		12.180000
1015		12.170000
1016		12.160000
1017		12.050000
1018		12.050000
1019		12.050000
1020		12.040000
1021		12.030000
1022		12.030000
1023		12.010000
1024		12.000000
1025		12.000000
1026		11.980000
1027		11.980000
1028		11.970000
1029		11.960000
1030		11.960000
1031		11.950000
1032		11.950000
1033		11.950000
1034		11.940000
1035		11.940000
1036		11.940000
1037		11.940000
1038		11.930000
1039		11.930000
1040		11.930000
1041		11.930000
1042		11.930000
1043		11.930000
1044		11.900000
1045		11.880000
1046		11.880000
1047		11.870000
1048		11.860000
1049		11.860000
1050		11.860000
1051		11.860000
1052		11.860000
1053		11.860000
1054		11.860000
1055		11.850000
1056		11.850000
1057		11.850000
1058		11.850000
1059		11.840000
1060		11.790000
1061		11.680000
1062		11.630000
1063		11.390000
1064		11.390000
1065		11.390000
1066		11.390000
1067		11.390000
1068		11.370000
1069		11.370000
1070		11.200000
1071		11.200000
1072		11.200000
1073		11.200000
1074		11.200000
1075		11.200000
1076		11.200000
1077		11.200000
1078		11.200000
1079		11.200000
1080		11.180000
1081		11.180000
1082		11.150000
1083		11.150000
1084		11.150000
1085		11.130000
1086		11.130000
1087		11.110000
1088		11.110000
1089		11.080000
1090		11.080000
1091		11.080000
1092		11.060000
1093		11.050000
1094		11.050000
1095		11.030000
1096		11.030000
1097		11.010000
1098		11.010000
1099		10.990000
1100		10.990000
1101		10.980000
1102		10.950000
1103		10.950000
1104		10.950000
1105		10.930000
1106		10.920000
1107		10.900000
1108		10.900000
1109		10.880000
1110		10.880000
1111		10.880000
1112		10.810000
1113		10.780000
1114		10.780000
1115		10.770000
1116		10.770000
1117		10.770000
1118		10.770000
1119		10.770000
1120		10.770000
1121		10.770000
1122		10.770000
1123		10.770000
1124		10.490000
1125		10.340000
1126		10.330000
1127		10.370000
1128		10.370000
1129		10.370000
1130		10.370000
1131		10.370000
1132		10.370000
1133		10.370000
1134		10.310000
1135		10.310000
1136		10.150000
1137		10.150000
1138		10.150000
1139		10.150000
1140		10.150000
1141		10.150000
1142		10.150000
1143		10.150000
1144		10.150000
1145		10.150000
1146		10.130000
1147		10.130000
1148		10.130000
1149		10.110000
1150		10.110000
1151		10.080000
1152		10.080000
1153		10.080000
1154		10.060000
1155		10.060000
1156		10.030000
1157		10.030000
1158		10.010000
1159		10.010000
1160		10.010000
1161		9.980000
1162		9.980000
1163		9.960000
1164		9.960000
1165		9.960000
1166		9.940000
1167		9.940000
1168		9.910000
1169		9.910000
1170		9.880000
1171		9.880000
1172		9.880000
1173		9.860000
1174		9.860000
1175		9.840000
1176		9.840000
1177		9.840000
1178		9.840000
1179		9.840000
1180		9.840000
1181		9.840000
1182		9.840000
1183		9.840000
1184		9.550000
1185		9.510000
1186		9.440000
1187		9.460000
1188		9.520000
1189		9.520000
1190		9.520000
1191		9.520000
1192		9.520000
1193		9.450000
1194		9.430000
1195		9.420000
1196		9.410000
1197		9.260000
1198		9.250000
1199		9.250000
1200		9.250000
1201		9.250000
1202		9.250000
1203		9.250000
1204		9.270000
1205		9.270000
1206		9.270000
1207		9.250000
1208		9.250000
1209		9.220000
1210		9.220000
1211		9.220000
1212		9.200000
1213		9.200000
1214		9.170000
1215		9.170000
1216		9.150000
1217		9.150000
1218		9.150000
1219		9.120000
1220		9.120000
1221		9.120000
1222		9.100000
1223		9.100000
1224		9.070000
1225		9.070000
1226		9.050000
1227		9.050000
1228		9.020000
1229		9.020000
1230		9.020000
1231		9.000000
1232		9.000000
1233		8.970000
1234		8.970000
1235		8.950000
1236		8.950000
1237		8.950000
1238		8.950000
1239		8.950000
1240		8.950000
1241		8.950000
1242		8.950000
1243		8.650000
1244		8.570000
1245		8.600000
1246		8.580000
1247		8.640000
1248		8.560000
1249		8.560000
1250		8.560000
1251		8.560000
1252		8.460000
1253		8.460000
1254		8.330000
1255		8.330000
1256		8.330000
1257		8.330000
1258		8.330000
1259		8.330000
1260		8.330000
1261		8.330000
1262		8.330000
1263		8.320000
1264		8.300000
1265		8.300000
1266		8.280000
1267		8.280000
1268		8.280000
1269		8.260000
1270		8.260000
1271		8.230000
1272		8.230000
1273		8.210000
1274		8.210000
1275		8.210000
1276		8.180000
1277		8.180000
1278		8.160000
1279		8.180000
1280		8.180000
1281		8.160000
1282		8.160000
1283		8.160000
1284		8.140000
1285		8.140000
1286		8.110000
1287		8.110000
1288		8.080000
1289		8.080000
1290		8.060000
1291		8.060000
1292		8.060000
1293		8.040000
1294		8.040000
1295		8.040000
1296		8.040000
1297		8.040000
1298		8.040000
1299		8.040000
1300		8.040000
1301		7.830000
1302		7.740000
1303		7.740000
1304		7.740000
1305		7.740000
1306		7.740000
1307		7.710000
1308		7.620000
1309		7.620000
1310		7.620000
1311		7.630000
1312		7.630000
1313		7.630000
1314		7.630000
1315		7.630000
1316		7.630000
1317		7.630000
1318		7.630000
1319		7.630000
1320		7.630000
1321		7.630000
1322		7.630000
1323		7.630000
1324		7.630000
1325		7.630000
1326		7.630000
1327		7.630000
1328		7.630000
1329		7.630000
1330		7.490000
1331		7.530000
1332		7.580000
1333		7.580000
1334		10.210000
1335		10.190000
1336		16.050000
1337		16.040000
1338		16.030000
1339		16.020000
