x	"NC0"
412		52.000000
413		53.600000
414		53.100000
415		52.700000
416		52.200000
417		52.000000
418		51.800000
419		51.700000
420		51.600000
421		51.600000
422		56.300000
423		56.200000
424		56.100000
425		55.900000
426		55.800000
427		55.600000
428		55.500000
429		55.400000
430		55.200000
431		55.100000
432		55.000000
433		54.800000
434		54.700000
435		54.700000
436		54.600000
437		54.400000
438		54.300000
439		54.200000
440		54.100000
441		53.900000
442		53.800000
443		53.600000
444		53.500000
445		53.400000
446		53.200000
447		53.100000
448		53.000000
449		52.800000
450		52.700000
451		52.600000
452		52.400000
453		52.200000
454		52.200000
455		52.000000
456		51.900000
457		51.700000
458		51.500000
459		51.500000
460		51.300000
461		51.100000
462		51.000000
463		50.900000
464		50.700000
465		50.500000
466		50.400000
467		50.200000
468		50.100000
469		49.900000
470		49.800000
471		49.600000
472		49.500000
473		49.300000
474		49.200000
475		49.000000
476		48.900000
477		48.700000
478		48.600000
479		48.500000
480		48.300000
481		48.200000
482		48.100000
483		47.900000
484		47.700000
485		47.700000
486		47.500000
487		47.400000
488		47.300000
489		47.100000
490		46.900000
491		46.800000
492		46.600000
493		46.500000
494		46.400000
495		46.300000
496		46.100000
497		46.000000
498		45.900000
499		45.700000
500		45.600000
501		45.500000
502		45.300000
503		45.200000
504		45.100000
505		44.900000
506		44.800000
507		44.600000
508		44.500000
509		44.300000
510		44.100000
511		44.100000
512		43.900000
513		43.800000
514		43.700000
515		43.600000
516		43.400000
517		43.200000
518		43.000000
519		42.900000
520		42.800000
521		42.600000
522		42.500000
523		42.400000
524		42.200000
525		42.100000
526		42.000000
527		41.800000
528		41.700000
529		41.600000
530		41.400000
531		41.300000
532		41.200000
533		41.000000
534		40.900000
535		40.700000
536		40.500000
537		40.400000
538		40.200000
539		40.100000
540		40.000000
541		39.900000
542		39.800000
543		39.700000
544		39.600000
545		39.500000
546		39.300000
547		39.200000
548		39.100000
549		38.900000
550		38.800000
551		38.700000
552		38.500000
553		38.500000
554		38.500000
555		38.500000
556		38.400000
557		36.600000
558		36.600000
559		35.000000
560		33.400000
561		33.400000
562		33.400000
563		33.400000
564		33.400000
565		33.400000
566		33.400000
567		33.400000
568		33.400000
569		33.400000
570		33.400000
571		33.400000
572		33.400000
573		33.400000
574		33.400000
575		33.400000
576		33.400000
577		33.400000
578		33.400000
579		33.400000
580		33.400000
581		33.400000
582		33.400000
583		33.400000
584		33.400000
585		33.400000
586		33.400000
587		33.400000
588		33.400000
589		33.400000
590		33.400000
591		33.300000
592		33.300000
593		33.300000
594		33.300000
595		33.300000
596		33.300000
597		33.300000
598		33.300000
599		33.300000
600		33.300000
601		33.300000
602		33.300000
603		33.300000
604		33.300000
605		33.300000
606		33.400000
607		33.400000
608		33.400000
609		33.400000
610		33.400000
611		33.400000
612		33.400000
613		33.400000
614		33.400000
615		33.400000
616		33.400000
617		33.400000
618		33.400000
619		33.400000
620		33.400000
621		33.400000
622		33.400000
623		33.400000
624		33.400000
625		33.400000
626		33.400000
627		33.400000
628		33.400000
629		33.400000
630		33.400000
631		33.400000
632		33.400000
633		33.400000
634		33.400000
635		33.400000
636		33.400000
637		33.400000
638		33.400000
639		33.400000
640		33.400000
641		33.400000
642		33.400000
643		33.400000
644		33.400000
645		33.400000
646		33.400000
647		33.400000
648		33.400000
649		33.400000
650		33.400000
651		33.400000
652		33.400000
653		33.400000
654		33.400000
655		33.400000
656		33.400000
657		33.400000
658		33.400000
659		33.400000
660		33.400000
661		33.400000
662		33.400000
663		33.400000
664		33.400000
665		33.400000
666		33.400000
667		33.400000
668		33.400000
669		33.400000
670		33.400000
671		33.400000
672		33.300000
673		33.400000
674		33.300000
675		33.400000
676		33.300000
677		33.400000
678		32.800000
679		32.600000
680		32.900000
681		32.800000
682		32.700000
683		32.700000
684		32.700000
685		32.300000
686		32.300000
687		32.200000
688		32.000000
689		32.000000
690		31.500000
691		30.600000
692		30.600000
693		30.400000
694		30.200000
695		30.100000
696		30.000000
697		29.800000
698		29.700000
699		29.500000
700		29.400000
701		29.300000
702		29.100000
703		29.000000
704		28.800000
705		28.600000
706		28.500000
707		28.300000
708		28.200000
709		28.000000
710		27.900000
711		27.800000
712		27.600000
713		27.400000
714		27.400000
715		27.200000
716		27.100000
717		27.000000
718		26.800000
719		26.700000
720		26.600000
721		26.400000
722		26.300000
723		26.200000
724		26.000000
725		25.900000
726		25.700000
727		25.600000
728		25.800000
729		25.600000
730		25.500000
731		25.300000
732		25.200000
733		25.000000
734		24.900000
735		24.800000
736		24.600000
737		24.500000
738		24.300000
739		24.200000
740		24.100000
741		23.900000
742		23.800000
743		23.600000
744		23.400000
745		23.300000
746		23.100000
747		22.900000
748		22.700000
749		22.700000
750		22.500000
751		22.300000
752		22.200000
753		22.000000
754		21.900000
755		21.800000
756		21.600000
757		21.500000
758		21.300000
759		21.200000
760		21.000000
761		20.900000
762		20.800000
763		20.600000
764		20.500000
765		20.200000
766		20.200000
767		20.000000
768		19.900000
769		19.700000
770		19.600000
771		19.500000
772		19.300000
773		19.100000
774		19.100000
775		18.900000
776		18.700000
777		18.600000
778		18.400000
779		18.300000
780		18.100000
781		18.000000
782		17.800000
783		17.700000
