0	0
1	3399995237
2	336109203
3	41659136
4	15768312
5	6136124
6	3813999
7	1991289
8	1465999
9	892169
10	719129
11	472608
12	370180
13	277904
14	190127
15	153049
16	137329
17	93492
18	88367
19	60570
20	79395
21	56075
22	49330
23	42658
24	40913
25	22180
26	19263
27	14671
28	15030
29	11434
30	11250
31	9214
32	17111
33	5351
34	5068
35	6028
36	8127
37	2189
38	3879
39	2698
40	2932
41	1713
42	2313
43	2017
44	1562
45	1608
46	2119
47	856
48	2928
49	922
50	1090
51	652
52	759
53	2266
54	659
55	1487
56	1024
57	325
58	603
59	762
60	1316
61	296
62	1915
63	603
64	3776
65	237
66	320
67	351
68	321
69	218
70	320
71	533
72	744
73	175
74	256
75	246
76	223
77	126
78	216
79	1105
80	913
81	183
82	149
83	400
84	305
85	159
86	129
87	161
88	310
89	70
90	518
91	171
92	256
93	104
94	179
95	142
96	852
97	127
98	250
99	132
100	575
101	73
102	142
103	54
104	460
105	197
106	98
107	147
108	170
109	129
110	225
111	106
112	390
113	99
114	57
115	82
116	56
117	74
118	54
119	71
120	165
121	53
122	98
123	70
124	96
125	351
126	81
127	41
128	4430
129	29
130	67
131	26
132	49
133	130
134	62
135	70
136	66
137	27
138	35
139	35
140	119
141	292
142	27
143	91
144	94
145	28
146	61
147	38
148	38
149	29
150	45
151	15
152	40
153	42
154	38
155	42
156	56
157	17
158	20
159	22
160	86
161	26
162	61
163	50
164	418
165	50
166	166
167	229
168	64
169	27
170	47
171	37
172	284
173	14
174	18
175	8
176	26
177	14
178	21
179	3
180	36
181	15
182	23
183	17
184	11
185	10
186	22
187	21
188	20
189	31
190	51
191	40
192	68
193	9
194	13
195	10
196	23
197	11
198	28
199	8
200	46
201	10
202	12
203	11
204	16
205	86
206	30
207	14
208	21
209	9
210	47
211	10
212	11
213	13
214	5
215	32
216	29
217	4
218	12
219	12
220	13
221	9
222	12
223	16
224	29
225	25
226	15
227	3
228	24
229	7
230	16
231	29
232	100
233	15
234	24
235	12
236	14
237	14
238	24
239	20
240	28
241	20
242	38
243	16
244	25
245	31
246	25
247	22
248	39
249	88
250	1077
251	3
252	9
253	4
254	10
255	10
256	11
257	7
258	10
259	4
260	1
261	4
262	2
263	5
264	2
265	1
266	3
267	11
268	4
269	5
270	1
271	3
272	3
273	4
274	7
275	0
276	2
277	3
278	1
279	5
280	6
281	2
282	4
283	0
284	7
285	4
286	7
287	1
288	10
289	24
290	5
291	8
292	7
293	4
294	4
295	4
296	7
297	3
298	5
299	1
300	8
301	1
302	2
303	3
304	8
305	7
306	6
307	3
308	9
309	5
310	26
311	1
312	9
313	39
314	16
315	23
316	3
317	8
318	14
319	2
320	9
321	2
322	3
323	8
324	2
325	5
326	21
327	0
328	2
329	0
330	2
331	4
332	4
333	5
334	3
335	8
336	3
337	2
338	3
339	0
340	15
341	8
342	5
343	2
344	5
345	2
346	1
347	1
348	6
349	2
350	3
351	3
352	8
353	1
354	3
355	0
356	5
357	4
358	0
359	4
360	9
361	9
362	1
363	0
364	2
365	0
366	2
367	3
368	1
369	1
370	1
371	0
372	4
373	20
374	8
375	3
376	3
377	1
378	4
379	1
380	2
381	2
382	5
383	0
384	7
385	1
386	0
387	1
388	7
389	0
390	8
391	4
392	1
393	6
394	12
395	4
396	0
397	2
398	0
399	2
400	2
401	2
402	4
403	0
404	1
405	3
406	2
407	0
408	7
409	2
410	12
411	2
412	2
413	4
414	5
415	1
416	1
417	9
418	1
419	4
420	0
421	1
422	0
423	1
424	0
425	7
426	4
427	2
428	4
429	4
430	2
431	12
432	5
433	0
434	0
435	1
436	5
437	3
438	0
439	0
440	10
441	3
442	0
443	6
444	6
445	10
446	3
447	3
448	3
449	3
450	7
451	7
452	9
453	0
454	4
455	2
456	3
457	10
458	5
459	3
460	5
461	4
462	4
463	3
464	2
465	3
466	7
467	2
468	4
469	3
470	8
471	4
472	2
473	0
474	2
475	0
476	3
477	4
478	7
479	2
480	16
481	3
482	5
483	5
484	5
485	3
486	6
487	4
488	3
489	5
490	15
491	7
492	6
493	5
494	11
495	32
496	2
497	5
498	7
499	5
500	79
