x	"CC"	"NC0"	"NC1"
109		6436.000000	1535.000000	1410.000000
110		6436.000000	1535.000000	1410.000000
111		6436.000000	2302.000000	1409.000000
112		6436.000000	2306.000000	1405.000000
113		6436.000000	2306.000000	1406.000000
114		6436.000000	2306.000000	2303.000000
115		6434.000000	2306.000000	2307.000000
116		6418.000000	2302.000000	2296.000000
117		6414.000000	2302.000000	2303.000000
118		6406.000000	2302.000000	2303.000000
119		6384.000000	2302.000000	2303.000000
120		6365.000000	2302.000000	2303.000000
121		6353.000000	2302.000000	2303.000000
122		6330.000000	2302.000000	2303.000000
123		6304.000000	2301.000000	2303.000000
124		6286.000000	2298.000000	2303.000000
125		6268.000000	2287.000000	2303.000000
126		6250.000000	2283.000000	2303.000000
127		6248.000000	2275.000000	2303.000000
128		6248.000000	2271.000000	2303.000000
129		6246.000000	2265.000000	2303.000000
130		6247.000000	2248.000000	2303.000000
131		6247.000000	2236.000000	2299.000000
132		6247.000000	2223.000000	2298.000000
133		6247.000000	2206.000000	2288.000000
134		6247.000000	2176.000000	2285.000000
135		6248.000000	2161.000000	2280.000000
136		6248.000000	2145.000000	2277.000000
137		6248.000000	2133.000000	2274.000000
138		6242.000000	2112.000000	2267.000000
139		6242.000000	2108.000000	2254.000000
140		6242.000000	2106.000000	2234.000000
141		6240.000000	2106.000000	2213.000000
142		6240.000000	2106.000000	2201.000000
143		6240.000000	2106.000000	2171.000000
144		6240.000000	2106.000000	2151.000000
145		6240.000000	2106.000000	2135.000000
146		6236.000000	2106.000000	2113.000000
147		6229.000000	2106.000000	2110.000000
148		6203.000000	2106.000000	2108.000000
149		6140.000000	2106.000000	2108.000000
150		6134.000000	2106.000000	2108.000000
151		6119.000000	2106.000000	2108.000000
152		6099.000000	2106.000000	2108.000000
153		6075.000000	2106.000000	2108.000000
154		6070.000000	2106.000000	2108.000000
155		6062.000000	2106.000000	2108.000000
156		6047.000000	2106.000000	2108.000000
157		6042.000000	2106.000000	2108.000000
158		6036.000000	2106.000000	2108.000000
159		6033.000000	2103.000000	2098.000000
160		6027.000000	2083.000000	2076.000000
161		6226.000000	2103.000000	2106.000000
